日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-02-10,13.26,13.11,13.28,13.04,42034,55189988.0,1.82,-0.76,-0.1,0.66
2023-02-13,13.07,13.09,13.18,13.0,43231,56525247.0,1.37,-0.15,-0.02,0.68
2023-02-14,13.09,13.53,13.67,13.01,130662,175472588.0,5.04,3.36,0.44,2.05
2023-02-15,13.45,13.35,13.7,13.29,92982,125177143.0,3.03,-1.33,-0.18,1.46
2023-02-16,13.32,12.95,13.36,12.81,94812,124267178.0,4.12,-3.0,-0.4,1.49
2023-02-17,12.9,12.97,13.03,12.83,52325,67704067.0,1.54,0.15,0.02,0.82
2023-02-20,13.03,13.35,13.35,12.92,77285,101908807.0,3.32,2.93,0.38,1.22
2023-02-21,13.32,13.51,13.6,13.25,86016,115527114.0,2.62,1.2,0.16,1.35
2023-02-22,13.51,13.53,13.76,13.4,80282,109205035.0,2.66,0.15,0.02,1.26
2023-02-23,13.5,13.52,13.64,13.42,53237,71996129.0,1.63,-0.07,-0.01,0.84
2023-02-24,13.47,13.74,13.84,13.38,112202,153416409.0,3.4,1.63,0.22,1.76
2023-02-27,13.85,13.76,14.11,13.56,159321,220518217.0,4.0,0.15,0.02,2.51
2023-02-28,13.75,13.67,13.87,13.56,55096,75449664.0,2.25,-0.65,-0.09,0.87
2023-03-01,13.77,13.67,13.77,13.51,56729,77532885.0,1.9,0.0,0.0,0.89
2023-03-02,13.73,13.48,13.73,13.44,48077,64987183.0,2.12,-1.39,-0.19,0.76
2023-03-03,13.5,13.53,13.57,13.4,42298,57047923.0,1.26,0.37,0.05,0.67
2023-03-06,13.56,13.65,13.68,13.51,45418,61744413.0,1.26,0.89,0.12,0.71
2023-03-07,13.71,13.48,13.82,13.46,87927,120133240.0,2.64,-1.25,-0.17,1.38
2023-03-08,13.37,13.36,13.42,13.15,54816,72987969.0,2.0,-0.89,-0.12,0.86
2023-03-09,13.47,13.22,13.49,13.2,32824,43547170.0,2.17,-1.05,-0.14,0.52
2023-03-10,13.2,13.69,14.07,13.2,154775,212784350.0,6.58,3.56,0.47,2.43
